date,tree,orch_i,strat_h,orch_sp_paleo,loc,tree_id,strat_id,orch_id,orch_sp_nhoc,LA,LDM,LFM,LT,SLA,NFU,LLU,NL,fertile,habit1,habit2,habit1_txt,habit2_txt
2017,F1,1.1.2,12.5,Stelis spathulata,LH,T01,E5,2,Stelis spathulata,0.825,0.0103,0.05,0.54,80.09708738,6,4.5,6,0,2,1,Ramicaule,Erect
2017,F1,1.1.3,12.5,Stelis spathulata,LH,T01,E5,3,Stelis spathulata,2.06,0.0255,0.17,0.876666667,80.78431373,7,7.9,7,0,2,1,Ramicaule,Erect
2017,F1,1.1.4,12.5,Stelis spathulata,LH,T01,E5,4,Stelis spathulata,1.443,0.0209,0.13,0.796666667,69.0430622,8,6.9,8,0,2,1,Ramicaule,Erect
2017,F1,1.1.5,12.5,Stelis spathulata,LH,T01,E5,5,Stelis spathulata,3.404,0.0501,0.31,0.663333333,67.94411178,12,14.5,12,0,2,1,Ramicaule,Erect
2017,F1,1.1.6,12.5,Oncidium sp.,LH,T01,E5,6,Oncidium pictum,24.03,0.2905,1.25,0.47,82.71944923,6,23,6,0,3,1,Pseudobulbs_Single internode,Erect
2017,F1,1.2.7,9.5,Restrepia antennifera,LH,T01,E5,7,Restrepia antennifera,1.476,0.0135,0.1,0.976666667,109.3333333,5,4,5,0,2,1,Ramicaule,Erect
2017,F1,1.3.8,7.29,Restrepia antennifera,LH,T01,E4,8,Restrepia antennifera,9.802,0.1082,0.93,0.89,90.59149723,9,9,9,1,2,1,Ramicaule,Erect
2017,F1,1.3.9,7.29,Restrepia antennifera,LH,T01,E4,9,Restrepia antennifera,6.577,0.0722,0.57,0.793333333,91.09418283,4,5.6,4,0,2,1,Ramicaule,Erect
2017,F1,1.3.11,7.29,Stelis spathulata,LH,T01,E4,11,Stelis spathulata,1.2,0.0137,0.09,0.673333333,87.59124088,7,4,7,0,2,1,Ramicaule,Erect
2017,F1,1.3.12,7.29,Stelis spathulata,LH,T01,E4,12,Stelis spathulata,4.24,0.0464,0.34,0.873333333,91.37931034,12,12,12,1,2,1,Ramicaule,Erect
2017,F1,1.3.13,7.29,Stelis spathulata,LH,T01,E4,13,Stelis spathulata,3.856,0.0316,0.22,0.476666667,122.0253165,22,10.9,22,1,2,1,Ramicaule,Erect
2017,F1,1.4.14,5.73,Stelis spathulata,LH,T01,E3,14,Stelis spathulata,2.573,0.0217,0.19,0.596666667,118.5714286,5,10.5,5,0,2,1,Ramicaule,Erect
2017,F1,1.4.15,5.73,Stelis spathulata,LH,T01,E3,15,Stelis spathulata,1.548,0.0087,0.09,0.39,177.9310345,6,7.5,6,0,2,1,Ramicaule,Erect
2017,F1,1.4.16,5.73,Stelis spathulata,LH,T01,E3,16,Stelis spathulata,1.863,0.0185,0.15,0.74,100.7027027,12,9.1,12,0,2,1,Ramicaule,Erect
2017,F1,1.4.17,5.73,Restrepia antennifera,LH,T01,E3,17,Restrepia antennifera,3.26,0.0319,0.27,0.84,102.1943574,4,4.9,4,0,2,1,Ramicaule,Erect
2017,F1,1.4.18,5.73,Restrepia antennifera,LH,T01,E3,18,Restrepia antennifera,2.037,0.0265,0.18,1.09,76.86792453,3,4.5,3,0,2,1,Ramicaule,Erect
2017,F1,1.4.19,5.73,Restrepia antennifera,LH,T01,E3,19,Restrepia antennifera,2.112,0.0213,0.15,0.786666667,99.15492958,6,4.6,6,0,2,1,Ramicaule,Erect
2017,F2,20,4.71,Stelis vulcanica,LH,T02,E3,20,Stelis vulcanica,94.793,0.9662,16.5,1.963333333,98.10908715,7,40,7,0,2,1,Ramicaule,Erect
2017,F2,21,4.71,Stelis spathulata,LH,T02,E3,21,Stelis spathulata,3.12,0.0212,0.15,0.506666667,147.1698113,6,7,6,0,2,1,Ramicaule,Erect
2017,F2,22,6.57,Restrepia antennifera,LH,T02,E4,22,Restrepia antennifera,11.29,0.0773,0.86,0.8,146.0543338,8,11.5,8,1,2,1,Ramicaule,Erect
2017,F2,23,6.57,Restrepia antennifera,LH,T02,E4,23,Restrepia antennifera,8.716,0.0676,0.78,0.96,128.9349112,10,18,10,0,2,1,Ramicaule,Erect
2017,F2,24,6.57,Restrepia antennifera,LH,T02,E4,24,Restrepia antennifera,12.524,0.0991,1.21,1.143333333,126.3773966,19,15,19,2,2,1,Ramicaule,Erect
2017,F2,25,6.57,Lepanthes sp.2,LH,T02,E4,25,Lepanthes sp.2,3.402,0.0213,0.15,0.486666667,159.7183099,4,8.4,4,1,2,1,Ramicaule,Erect
2017,F2,26,6.57,Lepanthes sp.2,LH,T02,E4,26,Lepanthes sp.2,2.574,0.0148,0.12,0.496666667,173.9189189,2,7.3,2,1,2,1,Ramicaule,Erect
2017,F2,27,6.57,Lepanthes sp.2,LH,T02,E4,27,Lepanthes sp.2,2.094,0.0111,0.07,0.37,188.6486486,7,12.3,7,1,2,1,Ramicaule,Erect
2017,F2,28,6.57,Stelis spathulata,LH,T02,E4,28,Stelis spathulata,2.419,0.0207,0.18,0.833333333,116.8599034,12,8,12,0,2,1,Ramicaule,Erect
2017,F2,29,6.57,Stelis spathulata,LH,T02,E4,29,Stelis spathulata,1.692,0.0123,0.11,0.78,137.5609756,13,7,13,1,2,1,Ramicaule,Erect
2017,F2,30,6.57,Stelis spathulata,LH,T02,E4,30,Stelis spathulata,2.35,0.0209,0.16,0.693333333,112.4401914,10,8.5,10,1,2,1,Ramicaule,Erect
2017,F2,35,9.42,Campylocentrum micranthum,LH,T02,E5,35,Campylocentrum micranthum,0.859,0.0136,0.09,1.25,63.16176471,4,18,4,1,4,2,Leafy stem,Scandent
2017,F3,36,3_4,Stelis spathulata,LH,T03,E2,36,Stelis spathulata,2.404,0.44,0.174184,0.474466667,5.463636364,8,8.2,8,0,2,1,Ramicaule,Erect
2017,F3,37,3_4,Stelis spathulata,LH,T03,E2,37,Stelis spathulata,1.091,0.4,0.080961,0.331533333,2.7275,6,5.2,6,0,2,1,Ramicaule,Erect
2017,F3,39,3_4,Stelis spathulata,LH,T03,E2,39,Stelis spathulata,2.227,0.33,0.161617,0.360733333,6.748484848,5,8,5,0,2,1,Ramicaule,Erect
2017,F3,40,3_4,Lepanthes sp.3,LH,T03,E2,40,Lepanthes sp.3,2.31,0.59,0.090797,0.446566667,3.915254237,4,6.8,4,1,2,1,Ramicaule,Erect
