date,tree,orch_i,strat_h,orch_sp_paleo,loc,tree_id,strat_id,orch_id,orch_sp_nhoc,LA,LDM,LFM,LT,SLA,NFU,LLU,NL,fertile,habit1,habit2,habit1_txt,habit2_txt
2017,66,110,1,Pleurothallis hystrix,RY,T11,E1,110,Pleurothallis hystrix,5.968,0.0441,0.38,0.756666667,135.3287982,,130,,0,1,3,Stemmed,Reptant
2017,66,111,1,Stelis argentata,RY,T11,E1,111,Stelis argentata,18.397,0.1324,2.36,1.47,138.9501511,8,14.5,8,0,2,1,Ramicaule,Erect
2017,66,112,1,Panmorphia cuspidata,RY,T11,E1,112,Lankesteriana cuspidata,2.02,0.0079,0.008,0.455,255.6962025,30,3.1,30,1,2,1,Ramicaule,Erect
2017,66,113,1,Panmorphia cuspidata,RY,T11,E1,113,Lankesteriana cuspidata,2.686,0.0123,0.022,0.703333333,218.3739837,15,3,15,1,2,1,Ramicaule,Erect
2017,66,114,1,Panmorphia cuspidata,RY,T11,E1,114,Lankesteriana cuspidata,2.574,0.013,0.018,0.49,198,11,3,11,1,2,1,Ramicaule,Erect
2017,66,115,1,Epidendrum RY,RY,T11,E1,115,Epidendrum RY,7.074,0.0675,0.39,0.593333333,104.8,6,150,6,1,,,,
2017,66,116,6,Pleurothallis hystrix,RY,T11,E3,116,Pleurothallis hystrix,5.499,0.0523,0.51,1.06,105.1434034,5,24,5,1,2,1,Ramicaule,Erect
2017,66,118,6,Mormolyca rufescens,RY,T11,E3,118,Mormolyca rufescens,36.54,0.4605,2.15,0.563333333,79.3485342,8,22.7,4,0,3,1,Pseudobulbs_Single internode,Erect
2017,66,119,6,Stelis spathulata,RY,T11,E3,119,Stelis spathulata,5.739,0.0666,0.62,1.346666667,86.17117117,11,12.5,11,0,2,1,Ramicaule,Erect
2017,66,120,6,Stelis spathulata,RY,T11,E3,120,Stelis spathulata,2.001,0.0231,0.14,0.756666667,86.62337662,18,8,18,1,2,1,Ramicaule,Erect
2017,66,122,3,Stelis spathulata,RY,T11,E2,122,Stelis spathulata,0.995,0.0093,0.06,0.666666667,106.9892473,7,9,7,0,1,3,Stemmed,Reptant
2017,66,123,3,Stelis spathulata,RY,T11,E2,123,Stelis spathulata,1.421,0.0176,0.08,0.706666667,80.73863636,5,6.5,5,1,2,1,Ramicaule,Erect
2017,66,124,3,Stelis spathulata,RY,T11,E2,124,Stelis spathulata,1.574,0.0132,0.08,0.606666667,119.2424242,8,7,8,1,2,1,Ramicaule,Erect
2017,66,125,3,Maxillaria ramosa,RY,T11,E2,125,Maxillaria ochracea,15.459,0.0997,0.92,0.656666667,155.0551655,6,8,6,1,2,1,Ramicaule,Erect
2017,66,126,3,Stelis sp.1,RY,T11,E2,126,Stelis sp.1,1.585,0.0123,0.11,0.7,128.8617886,2,120,30,2,3,2,Pseudobulbs_Single internode,Scandent
2017,66,127,3,Stelis sp.1,RY,T11,E2,127,Stelis sp.1,1.779,0.0168,0.15,1.083333333,105.8928571,10,5,10,0,2,1,Ramicaule,Erect
2017,66,128,3,Pleurothallis hystrix,RY,T11,E2,128,Pleurothallis hystrix,5.102,0.0415,0.37,0.936666667,122.939759,8,7.5,8,0,2,1,Ramicaule,Erect
2017,66,129,11,Oncidium adelaide,RY,T11,E5,129,Oncidium adelaide,23.734,0.2817,1.34,0.65,84.25275115,11,23,4,0,3,1,Pseudobulbs_Single internode,Erect
2017,66,130,11,Mormolyca rufescens,RY,T11,E5,130,Mormolyca rufescens,16.987,0.2899,1.06,0.66,58.59606761,7,15,7,0,3,1,Pseudobulbs_Single internode,Erect
2017,66,131,11,Mormolyca rufescens,RY,T11,E5,131,Mormolyca rufescens,24.403,0.2926,1.15,0.55,83.40054682,10,21,10,0,3,1,Pseudobulbs_Single internode,Erect
2017,66,132,11,Mormolyca rufescens,RY,T11,E5,132,Mormolyca rufescens,13.154,0.1971,0.79,0.623333333,66.7376966,7,10.5,7,0,3,1,Pseudobulbs_Single internode,Erect
2017,66,133,11,Stelis argentata,RY,T11,E5,133,Stelis argentata,3.284,0.0288,0.38,1.29,114.0277778,9,7,9,0,2,1,Ramicaule,Erect
2017,66,134,11,Stelis argentata,RY,T11,E5,134,Stelis argentata,5.599,0.0938,0.83,1.706666667,59.69083156,15,7.5,15,0,2,1,Ramicaule,Erect
2017,66,136,11,Pleurothallis m2,RY,T11,E5,136,Pleurothallis tripterantha,5.706,0.1376,0.94,1.983333333,41.46802326,14,14.3,14,0,2,1,Ramicaule,Erect
2017,66,137,11,Stelis spathulata,RY,T11,E5,137,Stelis spathulata,2.538,0.0293,0.18,0.793333333,86.62116041,30,15,30,1,2,1,Ramicaule,Erect
2017,66,138,8,Stelis sp.2,RY,T11,E4,138,Stelis sp.2,2.017,0.0175,0.018,0.815,115.2571429,8,2,8,2,2,1,Ramicaule,Erect
2017,66,140,8,Stelis sp.2,RY,T11,E4,140,Stelis sp.2,1.311,0.0092,0.01,0.576666667,142.5,7,1.7,7,2,2,1,Ramicaule,Erect
2017,66,141,8,Stelis sp.2,RY,T11,E4,141,Stelis sp.2,1.465,0.0125,0.014,0.786666667,117.2,6,2,6,2,2,1,Ramicaule,Erect
2017,66,142,8,Stelis spathulata,RY,T11,E4,142,Stelis spathulata,1.846,0.0189,0.12,0.796666667,97.67195767,11,6.6,11,0,2,1,Ramicaule,Erect
2017,66,143,8,Stelis spathulata,RY,T11,E4,143,Stelis spathulata,1.019,0.0101,0.04,0.483333333,100.8910891,19,5.5,19,2,2,1,Ramicaule,Erect
