#medida_ND;Sample_ID;N_chl_meas;Chl_a;Chl_b;a/b;Chl_ab;loc;tree_id;strat_id;orch_sp
39;110;1;0.330;0.020;16.640;0.350;RY;T11;E1;Pleurothallis hystrix
38;111;1;0.276;0.024;11.591;0.300;RY;T11;E1;Stelis argentata
268;112;2;0.607;0.273;2.295;0.879;RY;T11;E1;Lankesteriana cuspidata
120;113;3;0.597;0.377;1.609;0.974;RY;T11;E1;Lankesteriana cuspidata
13;114;1;0.260;0.169;1.535;0.429;RY;T11;E1;Lankesteriana cuspidata
20;115;1;0.581;0.102;5.697;0.683;RY;T11;E1;Epidendrum RY
252;116;3;0.320;0.200;1.658;0.521;RY;T11;E3;Pleurothallis hystrix
26;118;1;1.249;0.367;3.404;1.616;RY;T11;E3;Mormolyca rufescens
406;119;2;0.148;0.014;4.518;0.143;RY;T11;E3;Stelis spathulata
316;120;3;0.422;0.379;1.139;0.802;RY;T11;E3;Stelis spathulata
370;121;3;0.059;0.000;0.000;0.030;RY;T11;E2;Stelis spathulata
300;123;2;0.703;0.225;3.170;0.928;RY;T11;E2;Stelis spathulata
104;125;3;0.803;0.435;1.858;1.238;RY;T11;E2;Maxillaria ochracea
85;126;2;0.545;0.246;2.263;0.791;RY;T11;E2;Stelis sp.1
165;127;3;0.401;0.153;2.700;0.554;RY;T11;E2;Stelis sp.1
33;128;1;0.094;0.000;0.000;0.093;RY;T11;E2;Pleurothallis hystrix
17;129;2;0.832;0.184;4.526;1.016;RY;T11;E5;Oncidium adelaide
47;130;2;1.303;0.398;3.279;1.701;RY;T11;E5;Mormolyca rufescens
19;131;1;0.728;0.236;3.089;0.963;RY;T11;E5;Mormolyca rufescens
110;132;2;1.030;0.361;2.857;1.391;RY;T11;E5;Mormolyca rufescens
75;133;3;0.180;0.056;4.603;0.236;RY;T11;E5;Stelis argentata
21;134;1;0.295;0.060;4.918;0.355;RY;T11;E5;Stelis argentata
35;136;1;0.158;0.014;11.591;0.171;RY;T11;E5;Pleurothallis tripterantha
373;139;2;0.244;0.051;5.078;0.295;RY;T11;E5;Stelis sp.2
173;141;3;0.301;0.141;2.191;0.442;RY;T11;E4;Stelis sp.2
393;142;2;0.209;0.057;3.895;0.266;RY;T11;E4;Stelis spathulata
404;143;2;0.249;0.003;46.859;0.240;RY;T11;E4;Stelis spathulata
323;144;2;0.369;0.356;1.052;0.725;RY;T11;E4;Stelis spathulata
43;145;1;0.345;0.012;27.643;0.357;RY;T11;E4;Stelis spathulata
19;146;1;0.728;0.167;4.373;0.895;RY;T11;E4;Mormolyca rufescens
30;149;1;0.383;0.223;1.715;0.606;RY;T10;E5;Stelis argentata
36;150;1;0.149;0.000;0.000;0.075;RY;T10;E5;Maxillaria ochracea
14;152;3;1.412;0.121;4.119;1.194;RY;T10;E5;Oncidium adelaide
22;154;1;0.541;0.168;3.226;0.709;RY;T10;E5;Maxillaria ochracea
219;156;3;0.146;0.249;0.616;0.395;RY;T10;E5;Pleurothallis hystrix
24;157;2;0.490;0.094;3.625;0.545;RY;T10;E5;Pleurothallis hystrix
26;158;1;0.314;0.234;1.338;0.548;RY;T10;E5;Epidendrum porpax
141;159;3;0.162;0.233;0.749;0.395;RY;T10;E5;Epidendrum porpax
31;160;1;0.311;0.000;0.000;0.294;RY;T10;E5;Epidendrum porpax
27;161;1;1.889;0.440;4.299;2.329;RY;T10;E2;Oncidium adelaide
95;162;3;0.622;0.319;1.975;0.940;RY;T10;E2;Campylocentrum micranthum
29;163;1;0.497;0.052;9.649;0.549;RY;T10;E2;Campylocentrum micranthum
42;165;1;0.310;0.122;2.542;0.431;RY;T10;E1;Campylocentrum micranthum
9;166;1;0.251;0.082;3.053;0.333;RY;T13;E5;Stelis spathulata
35;167;1;0.364;0.118;3.089;0.482;RY;T13;E5;Stelis spathulata
44;171;1;0.295;0.060;4.918;0.355;RY;T13;E5;Stelis spathulata
63;173;3;0.381;0.104;2.652;0.460;RY;T13;E5;Stelis popayanensis
170;174;3;0.471;0.294;1.645;0.765;RY;T13;E5;Stelis popayanensis
35;175;1;0.019;0.105;0.179;0.124;RY;T13;E5;Stelis popayanensis
348;177;2;0.491;0.479;1.027;0.970;RY;T13;E5;Maxillaria ochracea
6;178;1;0.379;0.041;9.169;0.421;RY;T13;E5;Stelis vulcanica
325;181;3;0.318;0.347;0.937;0.665;RY;T13;E4;Epidendrum porpax
5;182;1;0.271;0.000;0.000;0.252;RY;T13;E2;Myoxanthus affinis
234;184;3;0.459;0.178;3.235;0.636;RY;T13;E2;Stelis spathulata
197;185;3;0.447;0.145;3.365;0.593;RY;T13;E2;Stelis spathulata
3;186;1;0.147;0.065;2.283;0.212;RY;T13;E2;Stelis spathulata
51;188;3;0.205;0.055;2.710;0.249;RY;T13;E2;Stelis argentata
214;189;3;0.318;0.278;1.147;0.596;RY;T13;E2;Stelis vulcanica
54;192;3;0.155;0.137;4.609;0.292;RY;T14;E3;Stelis spathulata
17;193;1;0.817;0.122;6.680;0.940;RY;T14;E3;Stelis spathulata
231;194;3;0.366;0.216;1.763;0.582;RY;T14;E3;Stelis argentata
168;195;2;0.450;0.155;2.957;0.605;RY;T14;E3;Stelis argentata
111;196;3;0.608;0.364;1.752;0.972;RY;T14;E3;Stelis spathulata
36;197;1;0.320;0.071;4.518;0.391;RY;T14;E3;Stelis spathulata
11;200;1;0.275;0.093;2.964;0.368;RY;T14;E4;Stelis spathulata
59;201;3;0.227;0.039;12.132;0.229;RY;T14;E4;Stelis spathulata
20;204;1;0.438;0.081;5.408;0.519;RY;T14;E4;Pleurothallis hystrix
32;205;2;0.357;0.052;6.856;0.409;RY;T14;E4;Stelis argentata
40;206;1;0.270;0.187;1.438;0.457;RY;T14;E3;Stelis vulcanica
6;207;1;0.235;0.228;1.031;0.462;RY;T14;E5;Pleurothallis hystrix
184;208;2;0.540;0.237;2.524;0.777;RY;T14;E5;Pleurothallis hystrix
228;209;3;0.581;0.232;2.705;0.813;RY;T14;E5;Pleurothallis hystrix
159;210;3;0.267;0.242;1.103;0.509;RY;T14;E5;Stelis argentata
408;212;3;1.836;0.305;6.055;2.142;RY;T14;E2;Epidendrum RY
24;213;1;0.132;0.141;0.936;0.273;RY;T14;E1;Cryptocentrum latifolium
99;214;3;0.116;0.134;0.937;0.249;RY;T14;E1;Cryptocentrum latifolium
23;215;1;0.207;0.035;5.887;0.242;RY;T14;E1;Pleurothallis hystrix
25;216;1;1.112;0.251;4.422;1.364;LH;T05;E1;Cryptocentrum latifolium
341;217;3;0.466;0.449;1.062;0.916;LH;T05;E2;Cryptocentrum latifolium
41;218;1;0.556;0.091;6.100;0.648;LH;T05;E2;Cryptocentrum latifolium
92;219;3;0.178;0.133;1.374;0.311;LH;T05;E2;Restrepia antennifera
352;220;2;1.034;0.508;2.033;1.542;LH;T05;E2;Lankesteriana cuspidata
247;221;2;0.971;0.321;3.022;1.292;LH;T05;E2;Lankesteriana cuspidata
43;222;3;1.402;0.406;3.508;1.808;LH;T05;E2;Lankesteriana cuspidata
37;224;1;0.501;0.164;3.053;0.666;LH;T05;E3;Encyclia prostechea
212;225;2;0.770;0.455;1.692;1.226;LH;T05;E3;Stelis vulcanica
73;228;3;0.762;0.112;7.069;0.873;LH;T05;E3;Lankesteriana cuspidata
129;229;3;0.370;0.199;1.910;0.569;LH;T05;E3;Lankesteriana cuspidata
176;230;2;0.558;0.217;2.664;0.774;LH;T05;E3;Stelis spathulata
313;231;3;0.865;0.374;2.352;1.239;LH;T05;E3;Stelis spathulata
391;232;2;0.837;0.090;9.353;0.927;LH;T05;E3;Stelis spathulata
32;233;1;0.493;0.008;61.923;0.501;LH;T05;E3;Stelis spathulata
319;236;2;0.728;0.534;1.365;1.261;LH;T05;E3;Campylocentrum micranthum
257;238;3;0.737;0.147;6.004;0.884;LH;T05;E4;Stelis spathulata
16;240;1;0.729;0.097;7.479;0.826;LH;T05;E4;Stelis spathulata
37;241;1;0.207;0.035;5.887;0.242;LH;T05;E4;Restrepia antennifera
321;242;2;0.501;0.462;1.085;0.964;LH;T05;E4;Restrepia antennifera
368;243;2;0.404;0.039;5.138;0.422;LH;T05;E4;Epidendrum LH
10;244;1;0.340;0.038;8.953;0.378;LH;T05;E4;Epidendrum LH
15;246;1;0.629;0.193;3.269;0.822;LH;T05;E4;Epidendrum LH
32;247;1;1.148;0.073;15.701;1.221;LH;T05;E4;Oncidium chrysomorphum
217;248;2;0.370;0.252;1.565;0.622;LH;T05;E5;Stelis vulcanica
288;250;3;1.015;0.246;4.411;1.261;LH;T05;E5;Stelis spathulata
200;251;3;0.451;0.105;120.981;0.556;LH;T05;E5;Stelis spathulata
276;252;2;0.447;0.203;2.204;0.650;LH;T05;E5;Pleurothallis hystrix
291;253;3;0.464;0.175;8.694;0.639;LH;T05;E5;Stelis spathulata
4;254;1;0.335;0.063;5.276;0.398;LH;T05;E5;Stelis spathulata
378;255;3;0.438;0.042;8.191;0.473;LH;T05;E5;Stelis spathulata
29;256;1;0.561;0.066;8.543;0.627;LH;T07;E3;Cryptocentrum latifolium
225;257;3;0.328;0.273;1.213;0.601;LH;T07;E3;Restrepia antennifera
22;258;1;0.531;0.219;2.427;0.749;LH;T07;E3;Restrepia antennifera
26;260;1;0.507;0.139;3.651;0.645;LH;T07;E3;Stelis argentata
11;263;1;0.237;0.000;0.000;0.188;LH;T07;E4;Restrepia antennifera
37;265;1;0.521;0.131;3.969;0.653;LH;T07;E4;Lepanthopsis floripecten
