"sample_label" "" "C_mic" "C_lat" "E_por" "Epi_ry" "L_cus" "Max_sp" "M_fri" "M_och" "M_ruf" "M_aff" "O_ade" "O_pic" "P_hys" "P_tri" "S_arg" "S_pop" "Ste_sp1" "Ste_sp2" "S_spa" "S_vul"
"1" "F10_E1" 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"2" "F11_E1" 2 0 0 0 1 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0
"3" "F14_E1" 5 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"4" "F17_E1" 8 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0
"5" "F18_E1" 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0
"6" "F10_E2" 10 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
"7" "F11_E2" 11 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 1 0
"8" "F12_E2" 12 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1
"9" "F13_E2" 13 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 1 1
"10" "F14_E2" 14 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"11" "F15_E2" 15 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0
"12" "F16_E2" 16 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"13" "F17_E2" 17 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0
"14" "F18_E2" 18 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
"15" "F11_E3" 20 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0
"16" "F14_E3" 23 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1
"17" "F15_E3" 24 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0
"18" "F16_E3" 25 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0
"19" "F17_E3" 26 0 0 0 1 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0 0
"20" "F18_E3" 27 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0
"21" "F11_E4" 29 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 1 0
"22" "F12_E4" 30 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
"23" "F13_E4" 31 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"24" "F14_E4" 32 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 1 0
"25" "F15_E4" 33 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0
"26" "F16_E4" 34 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"27" "F17_E4" 35 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 0 1 0
"28" "F18_E4" 36 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"29" "F10_E5" 37 0 0 1 0 0 0 1 1 0 0 1 0 1 0 1 0 0 0 1 0
"30" "F11_E5" 38 0 0 0 0 0 0 0 0 1 0 1 0 0 1 1 0 0 0 1 0
"31" "F12_E5" 39 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
"32" "F13_E5" 40 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 1 1 1
"33" "F14_E5" 41 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0
"34" "F15_E5" 42 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 0 1 1
"35" "F16_E5" 43 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 1 0
"36" "F18_E5" 44 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
