"spp" "fertile" "flowers" "fruits" "nleaves" "NFU" "hmax" "Chl_a" "Chl_b" "ratio_ab" "Chl_total" "LT" "LA" "LDM" "LFM" "SLA" "LS" "succulence" "LWC"
"Campylocentrum micranthum" "Campylocentrum micranthum" 0.25 2.66666666666667 0 4.25 1.08333333333333 17.0166666666667 0.369333333333333 0.09 5.5865 0.456916666666667 0.964166666833333 1.272 0.0146416666666667 0.095 85.5335957283333 0.0644306125 0.0908166666666667 0.0803583333333333
"Cryptocentrum latifolium" "Cryptocentrum latifolium" 0 0 0 4.66666666666667 1 14.5 0.2495 0.112833333333333 2.43083333333333 0.362 1.48777777783333 16.0723333333333 0.0999833333333333 1.005 184.483352313333 0.055449749 2.31906666633333 0.905016666666667
"Epidendrum porpax" "Epidendrum porpax" 0 0 0 0 1 8.875 0.27625 0.2035 0.756 0.4755 1.635 1.556 0.0144 0.2125 105.95572068 0.12879904275 0.34769166675 0.1981
"Epidendrum RY" "Epidendrum RY" 0.25 0 0 0 4.25 83.25 0.9065 0.174 4.585 1.07275 0.8775 23.46925 0.317525 2.1475 108.772409515 0.06603684575 2.95293333325 1.829975
"Lankesteriana cuspidata" "Lankesteriana cuspidata" 0.666666666666667 8.33333333333333 0.166666666666667 0 14 2.78333333333333 0.493666666666667 0.191333333333333 3.02 0.682666666666667 0.446388888833333 0.5081944445 0.00204 0.0160555556666667 246.086359016667 0.0243082043333333 0.00782685183333333 0.0129455556666667
"Maxillaria" "Maxillaria" 0 0 0 0 0 13 0 0 0 0 0.85 11.828 0.1267 0.97 93.35438043 0.071296923 0.8245 0.8433
"Maxillaria fritzii" "Maxillaria fritzii" 0 0 0 7 1 27 0 0 0 0 3.546666667 24.6 0.1501 1.71 163.8907395 0.063410569 6.0648 1.5599
"Maxillaria ochracea" "Maxillaria ochracea" 0.153846153846154 0 0.230769230769231 4.92307692307692 6.30769230769231 27.7846153846154 0.460230769230769 0.207692307692308 6.37692307692308 0.661461538461538 0.844615384769231 19.0648461538462 0.191046153846154 1.57615384615385 115.119336463077 0.0706619522307692 1.3856 1.38510769230769
"Mormolyca rufescens" "Mormolyca rufescens" 0 0 0 1.8 8 16.04 1.0076 0.3058 3.4004 1.3132 0.5706666666 19.9462 0.26558 1.11 77.31360777 0.0415770886 0.6436733334 0.84442
"Myoxanthus affinis" "Myoxanthus affinis" 0 0 0 5 9 18 0.271 0 0 0.252 0.996666667 7.543 0.083 0.67 90.87951807 0.077820496 0.667766667 0.587
"Oncidium adelaide" "Oncidium adelaide" 0 0 0 2.66666666666667 6.16666666666667 14.3833333333333 1.19916666666667 0.277666666666667 3.27083333333333 1.42033333333333 0.300000000166667 13.6606666666667 0.100683333333333 0.493333333333333 169.501869991667 0.0251460841666667 0.213633333333333 0.39265
"Oncidium pictum" "Oncidium pictum" 0 0 0 0 4 33.4 1.428 0.408 3.504 1.836 0.473333333 62.023 0.5475 2.98 113.2840183 0.039219322 1.410533333 2.4325
"Pleurothallis hystrix" "Pleurothallis hystrix" 0.05 0 0 0 6.6 11.485 0.40515 0.1138 6.1932 0.5141 0.8096666668 3.9012 0.032785 0.285 122.4592535275 0.0632445505 0.24927500005 0.252215
"Pleurothallis tripterantha" "Pleurothallis tripterantha" 0 0 0 0 14 14.3 0.158 0.014 11.591 0.171 1.983333333 5.706 0.1376 0.94 41.46802326 0.140623905 1.864333333 0.8024
"Stelis argentata" "Stelis argentata" 0.295454545454545 1.09090909090909 0.0227272727272727 0.522727272727273 10.4772727272727 13.5590909090909 0.326772727272727 0.0875909090909091 7.22272727272727 0.411409090909091 0.899393939363636 11.6102272727273 0.0853145454545454 0.923409090909091 143.551654149091 0.0731925646818182 0.859753030272727 0.838094545454545
"Stelis popayanensis" "Stelis popayanensis" 0 0 0 0 7.33333333333333 11.55 0.21925 0.0876666666666667 2.75858333333333 0.304833333333333 1.04499999991667 4.25341666666667 0.0595583333333333 0.418333333333333 83.9443157708333 0.083463234 0.458322222166667 0.358775
"Stelis sp.1" "Stelis sp.1" 0 0 0 0 9 6.25 0.473 0.1995 2.4815 0.6725 0.8916666665 1.682 0.01455 0.13 117.37732285 0.0682569515 0.11975 0.11545
"Stelis sp.2" "Stelis sp.2" 0.75 0 0.75 0 7.75 6.05 0.07525 0.03525 0.54775 0.1105 0.9920833335 1.898975 0.03525833325 0.2355 106.25052168 0.05716775 0.4106125 0.20024166675
"Stelis spathulata" "Stelis spathulata" 0.428571428571429 1.79591836734694 0.0408163265306122 0.612244897959184 11.8571428571429 9.08571428571429 0.395326530612245 0.104081632653061 7.62677551020408 0.495183673469388 0.699115646285714 2.73277551020408 0.0236959183673469 0.183673469387755 120.377088359796 0.0554405685714286 0.140089795897959 0.159977551020408
"Stelis vulcanica" "Stelis vulcanica" 0.428571428571429 0.714285714285714 1.42857142857143 2.14285714285714 11.7142857142857 25.5857142857143 0.330428571428571 0.108 6.02957142857143 0.438571428571429 1.82238095228571 41.6778571428571 0.6005 6.46571428571429 72.6447413657143 0.138376411571429 12.2696904761429 5.86521428571429
