"spp" "fertile" "flowers" "fruits" "nleaves" "NFU" "hmax" "Chl_a" "Chl_b" "ratio_ab" "Chl_total" "LT" "LA" "LDM" "LFM" "SLA" "LS" "succulence" "LWC"
"Campylocentrum micranthum" "Campylocentrum micranthum" 0.142857142857143 0.914285714285714 0.0285714285714286 5.88571428571429 1.22857142857143 16.1257142857143 0.305171428571429 0.116085714285714 2.77245714285714 0.4204 0.7584838096 1.30197142857143 0.0144630971428571 0.0904886324285714 89.5818537648571 0.0595170586285714 0.0695339051428571 0.206432709771429
"Cryptocentrum latifolium" "Cryptocentrum latifolium" 0.208333333333333 0 0.0416666666666667 4.125 1 20.4333333333333 0.299291666666667 0.105708333333333 2.95875 0.4045 0.814866666708333 16.1010833333333 0.197479166666667 1.069577025 120.63164598625 0.0477414444166667 1.06828788691667 0.83722701725
"Dichaea hystricina" "Dichaea hystricina" 0.1 0 0 0 4.8 8.25 1.1619 0.3568 2.7859 1.5185 0.2116666667 0.00922574 0.0006865667 0.0036404753 14.7095576135 0.3353517459 0.000575773 0.0029539087
"Dichaea pendula" "Dichaea pendula" 0 0 0 0 1.66666666666667 37.3333333333333 0.887333333333333 0.307666666666667 2.94033333333333 1.19566666666667 0.215555555666667 0.185314815 0.006512963 0.0424074073333333 31.1362897166667 0.166746308 0.00936790133333333 0.0358944443333333
"Encyclia prostechea" "Encyclia prostechea" 0 0 0 7.5 5 37.75 0.7055 0.1775 3.9115 0.8835 0.636666667 40.2555 0.3829 2.215 120.630354695 0.0451231625 1.4874166665 1.8321
"Epidendrum LH" "Epidendrum LH" 0 0 0 7.66666666666667 4.66666666666667 14 0.457666666666667 0.09 5.78666666666667 0.540666666666667 0.646666666666667 3.09266666666667 0.0264333333333333 0.163333333333333 116.5939378 0.0458789773333333 0.106333333333333 0.1369
"Epidendrum porpax" "Epidendrum porpax" 0.285714285714286 0 0 10.4285714285714 1.71428571428571 9.57142857142857 0.157857142857143 0.116285714285714 0.432 0.271714285714286 1.55523809514286 1.59542857142857 0.0137428571428571 0.207142857142857 115.624305545714 0.122234017571429 0.324252381 0.1934
"Epidendrum RY" "Epidendrum RY" 0.25 0 0 0 4.25 83.25 0.9065 0.174 4.585 1.07275 0.8775 23.46925 0.317525 2.1475 108.772409515 0.06603684575 2.95293333325 1.829975
"Epidendrum sp.1" "Epidendrum sp.1" 1 3 0 0 10 30 0 0 0 0 0.39 4.635 0.03 0.18 154.5 0.03236246 0.0702 0.15
"Lankesteriana cuspidata" "Lankesteriana cuspidata" 0.666666666666667 5.16666666666667 0.166666666666667 0 11.8333333333333 2.69166666666667 0.625083333333333 0.2245 2.97183333333333 0.848333333333333 0.440138888833333 0.50437222225 0.00306833333333333 0.0148611111666667 249.9733695525 0.0241826496666667 0.007108426 0.0125744445
"Lepanthes sp" "Lepanthes sp" 0 0 0 0 2 9.5 0 0 0 0 0.3309 2.383 0.59 0 4.038983051 0 0 0
"Lepanthes sp.1" "Lepanthes sp.1" 0.857142857142857 0.428571428571429 0.142857142857143 0 13.4285714285714 4.14285714285714 0.300714285714286 0.142 0.929714285714286 0.442714285714286 0.529523809571429 0.405371428571429 0.00276857142857143 0.0183571428571429 146.792514614286 0.0415789264285714 0.00972571414285714 0.0158885714285714
"Lepanthes sp.2" "Lepanthes sp.2" 0.6 0.36 0 0.12 3.44 7.616 0.28384 0.08864 2.06828 0.37148 0.36913199996 2.55764 0.011892512 0.0984668018 220.370865688 0.03230500204 0.0374100262 0.33550960136
"Lepanthes sp.3" "Lepanthes sp.3" 0.142857142857143 0 0 0.857142857142857 3.57142857142857 7.51428571428571 0.693285714285714 0.205857142857143 4.006 0.899 0.400461904857143 2.84242857142857 0.0158572857142857 0.111780184714286 239.006156185714 0.0325254384285714 0.0441795427142857 0.208603373285714
"Lepanthopsis floripecten" "Lepanthopsis floripecten" 0 0 0 1.16666666666667 7 4.5 0.3675 0.1175 2.7295 0.4765 0.501666666833333 0.613333333333333 0.00543333333333333 0.0335166666666667 118.060784891667 0.0435028146666667 0.0182588888333333 0.0287333333333333
"Maxillaria" "Maxillaria" 0 0 0 0 0 13 0 0 0 0 0.85 11.828 0.1267 0.97 93.35438043 0.071296923 0.8245 0.8433
"Maxillaria fritzii" "Maxillaria fritzii" 0 0 0 7 1 27 0 0 0 0 3.546666667 24.6 0.1501 1.71 163.8907395 0.063410569 6.0648 1.5599
"Maxillaria ochracea" "Maxillaria ochracea" 0.153846153846154 0 0.230769230769231 4.92307692307692 6.30769230769231 27.7846153846154 0.460230769230769 0.207692307692308 6.37692307692308 0.661461538461538 0.844615384769231 19.0648461538462 0.191046153846154 1.57615384615385 115.119336463077 0.0706619522307692 1.3856 1.38510769230769
"Mormolyca rufescens" "Mormolyca rufescens" 0 0 0 1.8 8 16.04 1.0076 0.3058 3.4004 1.3132 0.5706666666 19.9462 0.26558 1.11 77.31360777 0.0415770886 0.6436733334 0.84442
