"tree" "stratum" "Op" "DSF" "ISF" "TSF" "DirB" "DifB" "TotB"
"F01_E1" "F01" "E1" 10.43 0.153333333333333 0.115433333333333 0.1404 4.18333333333333 1.63666666666667 5.82
"F01_E3" "F01" "E3" 10.9 0.161633333333333 0.152633333333333 0.158566666666667 4.41 2.16333333333333 6.57333333333333
"F01_E4" "F01" "E4" 12.04 0.173633333333333 0.153066666666667 0.166633333333333 4.73333333333333 2.16666666666667 6.91
"F01_E5" "F01" "E5" 17.2833333333333 0.112933333333333 0.1986 0.142233333333333 3.08333333333333 2.81666666666667 5.89666666666667
"F02_E1" "F02" "E1" 12.2533333333333 0.194266666666667 0.1509 0.179433333333333 5.29666666666667 2.14 7.44
"F02_E2" "F02" "E2" 12.69 0.18335 0.15925 0.17515 5 2.26 7.26
"F02_E3" "F02" "E3" 13.5666666666667 0.172166666666667 0.159433333333333 0.167766666666667 4.69666666666667 2.26333333333333 6.95666666666667
"F02_E4" "F02" "E4" 13.7933333333333 0.147666666666667 0.162866666666667 0.152866666666667 4.02666666666667 2.30666666666667 6.34
"F02_E5" "F02" "E5" 13.98 0.1396 0.153966666666667 0.1445 3.80666666666667 2.18666666666667 5.99
"F03_E1" "F03" "E1" 12.3933333333333 0.1864 0.142166666666667 0.171266666666667 5.08333333333333 2.01666666666667 7.10333333333333
"F03_E2" "F03" "E2" 12.625 0.1203 0.12995 0.1236 3.28 1.84 5.125
"F03_E3" "F03" "E3" 13.11 0.044 0.1367 0.0757 1.2 1.94 3.14
"F03_E4" "F03" "E4" 13.54 0.0851 0.1435 0.1051 2.32 2.03 4.36
"F04_E1" "F04" "E1" 12.1466666666667 0.241 0.132166666666667 0.203766666666667 6.57333333333333 1.87333333333333 8.44666666666667
"F04_E2" "F04" "E2" 11.01 0.0896 0.1154 0.0984 2.44 1.64 4.08
"F04_E3" "F04" "E3" 11.15 0.0385 0.0992 0.0593 1.05 1.41 2.46
"F04_E4" "F04" "E4" 13 0.1114 0.1406 0.1214 3.04 1.99 5.03
"F05_E1" "F05" "E1" 11.8633333333333 0.0659666666666667 0.121333333333333 0.0849 1.8 1.72 3.52333333333333
"F05_E2" "F05" "E2" 12.0066666666667 0.165733333333333 0.134033333333333 0.1549 4.52 1.9 6.42
"F05_E3" "F05" "E3" 9.36666666666667 0.1435 0.120366666666667 0.1356 3.91333333333333 1.71 5.62333333333333
"F05_E4" "F05" "E4" 11.8 0.130166666666667 0.1407 0.1338 3.55 1.99666666666667 5.54666666666667
"F05_E5" "F05" "E5" 12.5166666666667 0.1187 0.1416 0.126566666666667 3.23666666666667 2.01 5.24666666666667
"F06_E1" "F06" "E1" 11.5233333333333 0.134933333333333 0.129366666666667 0.133 3.68 1.83333333333333 5.51333333333333
"F06_E2" "F06" "E2" 12.8666666666667 0.0877333333333333 0.1475 0.108166666666667 2.39333333333333 2.09 4.48333333333333
"F06_E3" "F06" "E3" 13.81 0.1322 0.162 0.1424 3.6 2.3 5.9
"F06_E4" "F06" "E4" 15.57 0.0843 0.1567 0.109 2.3 2.22 4.52
"F06_E5" "F06" "E5" 14.62 0.1083 0.1472 0.1216 2.95 2.09 5.04
"F07_E1" "F07" "E1" 10.755 0.1987 0.14195 0.17925 5.42 2.01 7.435
"F07_E2" "F07" "E2" 12.59 0.140866666666667 0.1454 0.142433333333333 3.84333333333333 2.06333333333333 5.90333333333333
"F07_E3" "F07" "E3" 13.15 0.160733333333333 0.1511 0.157466666666667 4.38333333333333 2.14 6.52666666666667
"F07_E4" "F07" "E4" 13.4366666666667 0.206433333333333 0.158 0.189866666666667 5.63 2.24 7.87333333333333
"F07_E5" "F07" "E5" 11.8166666666667 0.109366666666667 0.1354 0.118266666666667 2.98333333333333 1.91666666666667 4.90333333333333
"F08_E1" "F08" "E1" 11.24 0.0879 0.127333333333333 0.101366666666667 2.4 1.80666666666667 4.20333333333333
"F08_E2" "F08" "E2" 13.0566666666667 0.1004 0.146333333333333 0.1161 2.74 2.07666666666667 4.81333333333333
"F08_E3" "F08" "E3" 13.8166666666667 0.181766666666667 0.147733333333333 0.170133333333333 4.95666666666667 2.09666666666667 7.05333333333333
"F08_E4" "F08" "E4" 13.1766666666667 0.1138 0.118066666666667 0.115266666666667 3.10333333333333 1.67666666666667 4.78
"F08_E5" "F08" "E5" 11.0566666666667 0.144466666666667 0.117333333333333 0.135166666666667 3.93666666666667 1.66333333333333 5.60333333333333
"F09_E1" "F09" "E1" 12.68 0.1246 0.136966666666667 0.128866666666667 3.4 1.94333333333333 5.34
"F09_E2" "F09" "E2" 13.48 0.153866666666667 0.1487 0.152133333333333 4.19666666666667 2.11 6.30666666666667
"F09_E3" "F09" "E3" 14.1366666666667 0.143833333333333 0.141566666666667 0.143066666666667 3.92333333333333 2.00666666666667 5.93
"F09_E4" "F09" "E4" 12.4433333333333 0.132033333333333 0.128966666666667 0.130966666666667 3.60333333333333 1.83 5.42666666666667
"F09_E5" "F09" "E5" 14.3766666666667 0.126566666666667 0.154166666666667 0.136033333333333 3.45333333333333 2.18333333333333 5.63666666666667
"F10_E1" "F10" "E1" 12.2766666666667 0.122666666666667 0.160933333333333 0.135766666666667 3.33666666666667 2.27333333333333 5.61
"F10_E2" "F10" "E2" 13.15 0.0961 0.15955 0.11785 2.615 2.255 4.87
"F10_E3" "F10" "E3" 12.7166666666667 0.158233333333333 0.146866666666667 0.154366666666667 4.3 2.07666666666667 6.37666666666667
"F10_E4" "F10" "E4" 11.94 0.0726 0.1313 0.0927 1.97333333333333 1.85666666666667 3.83
"F10_E5" "F10" "E5" 13.9066666666667 0.0983333333333333 0.128833333333333 0.108766666666667 2.67333333333333 1.82 4.49333333333333
"F11_E1" "F11" "E1" 10.5633333333333 0.1865 0.146966666666667 0.172966666666667 5.07 2.07666666666667 7.14666666666667
"F11_E2" "F11" "E2" 10.8233333333333 0.165133333333333 0.140533333333333 0.1567 4.49 1.98333333333333 6.47666666666667
"F11_E3" "F11" "E3" 10.4633333333333 0.1529 0.133166666666667 0.146166666666667 4.16 1.88666666666667 6.04
"F11_E4" "F11" "E4" 10.835 0.17025 0.1405 0.1601 4.625 1.985 6.62
"F11_E5" "F11" "E5" 22.3833333333333 0.219266666666667 0.2726 0.2375 5.96 3.85333333333333 9.81333333333333
"F12_E1" "F12" "E1" 10.4766666666667 0.189133333333333 0.151766666666667 0.176333333333333 5.14 2.14333333333333 7.28666666666667
"F12_E2" "F12" "E2" 14.4366666666667 0.190466666666667 0.182266666666667 0.187666666666667 5.17666666666667 2.57666666666667 7.75333333333333
"F12_E3" "F12" "E3" 15.6133333333333 0.155766666666667 0.1849 0.165733333333333 4.23333333333333 2.61666666666667 6.85
"F12_E4" "F12" "E4" 15.5933333333333 0.174 0.184766666666667 0.1777 4.73 2.61 7.34333333333333
"F12_E5" "F12" "E5" 15.69 0.162133333333333 0.1896 0.171533333333333 4.41 2.68 7.08666666666667
"F13_E1" "F13" "E1" 10.6166666666667 0.131566666666667 0.1372 0.1335 3.57333333333333 1.93666666666667 5.52
"F13_E2" "F13" "E2" 13.1766666666667 0.2019 0.155133333333333 0.1859 5.48666666666667 2.19 7.68333333333333
"F13_E3" "F13" "E3" 14.0466666666667 0.137666666666667 0.1616 0.145866666666667 3.74333333333333 2.28333333333333 6.02666666666667
"F13_E4" "F13" "E4" 11.5433333333333 0.116866666666667 0.132333333333333 0.122133333333333 3.17666666666667 1.87 5.04666666666667
"F13_E5" "F13" "E5" 11.9933333333333 0.207033333333333 0.153166666666667 0.1886 5.62666666666667 2.16333333333333 7.79666666666667
"F14_E1" "F14" "E1" 10.7866666666667 0.2031 0.1371 0.180533333333333 5.52333333333333 1.93666666666667 7.46
"F14_E2" "F14" "E2" 12.9533333333333 0.1245 0.137066666666667 0.1288 3.38666666666667 1.93666666666667 5.32
"F14_E3" "F14" "E3" 12.1633333333333 0.146566666666667 0.127233333333333 0.139966666666667 3.98333333333333 1.8 5.78
"F14_E4" "F14" "E4" 12.0766666666667 0.1743 0.123733333333333 0.157033333333333 4.74 1.75 6.49
"F14_E5" "F14" "E5" 13.1766666666667 0.144166666666667 0.144933333333333 0.144433333333333 3.92 2.04666666666667 5.96666666666667
"F15_E1" "F15" "E1" 9.61 0.153766666666667 0.1252 0.144 4.18 1.77 5.95
"F15_E2" "F15" "E2" 11.0366666666667 0.218 0.152233333333333 0.195533333333333 5.92666666666667 2.15 8.08
"F15_E3" "F15" "E3" 12.2533333333333 0.209033333333333 0.168233333333333 0.195066666666667 5.68333333333333 2.37666666666667 8.06
"F15_E4" "F15" "E4" 12.9533333333333 0.239766666666667 0.1766 0.218166666666667 6.51666666666667 2.49666666666667 9.01333333333333
"F15_E5" "F15" "E5" 14.9133333333333 0.2308 0.198733333333333 0.219833333333333 6.27333333333333 2.80666666666667 9.08333333333333
"F16_E1" "F16" "E1" 11.2833333333333 0.139733333333333 0.144766666666667 0.141466666666667 3.8 2.04666666666667 5.84666666666667
"F16_E2" "F16" "E2" 12.7633333333333 0.224 0.154466666666667 0.200233333333333 6.09 2.18 8.27333333333333
"F16_E3" "F16" "E3" 14.0266666666667 0.178333333333333 0.154733333333333 0.170233333333333 4.84666666666667 2.18666666666667 7.03333333333333
"F16_E4" "F16" "E4" 15.1766666666667 0.1284 0.157466666666667 0.138366666666667 3.49 2.22666666666667 5.71666666666667
"F16_E5" "F16" "E5" 13.695 0.14735 0.1368 0.14375 4.005 1.93 5.94
"F17_E1" "F17" "E1" 10.37 0.16945 0.13435 0.1575 4.61 1.9 6.505
"F17_E2" "F17" "E2" 11.0866666666667 0.0978333333333333 0.143233333333333 0.1134 2.66 2.02333333333333 4.68666666666667
"F17_E3" "F17" "E3" 11.53 0.116433333333333 0.143233333333333 0.1256 3.16666666666667 2.02333333333333 5.19
"F17_E4" "F17" "E4" 13.73 0.137433333333333 0.158966666666667 0.1448 3.74 2.24666666666667 5.98333333333333
"F18_E1" "F18" "E1" 9.2 0.0897333333333333 0.119233333333333 0.0998333333333333 2.44 1.68333333333333 4.12333333333333
"F18_E2" "F18" "E2" 9.92666666666667 0.1597 0.140266666666667 0.153033333333333 4.34333333333333 1.98333333333333 6.32333333333333
"F18_E3" "F18" "E3" 11.37 0.296 0.163433333333333 0.250666666666667 8.04666666666667 2.31 10.3566666666667
"F18_E4" "F18" "E4" 12.9966666666667 0.336433333333333 0.187233333333333 0.285366666666667 9.14666666666667 2.64666666666667 11.79
"F18_E5" "F18" "E5" 14.48 0.314566666666667 0.189766666666667 0.271866666666667 8.55333333333333 2.68333333333333 11.2333333333333
