"site" "tree" "height" "id" "sp" "sample" "code_habit1" "Ramicaule" "Pseudobulb" "Monopodial" "LeafyStem" "empty" "habit1"
"1" "LH" "F01" "E5" "2" "Stelis spathulata" "F01_E5" "5" "1" "0" "0" "0" "0" "Ramicaule"
"2" "LH" "F01" "E5" "3" "Stelis spathulata" "F01_E5" "5" "1" "0" "0" "0" "0" "Ramicaule"
"3" "LH" "F01" "E5" "4" "Stelis spathulata" "F01_E5" "5" "1" "0" "0" "0" "0" "Ramicaule"
"4" "LH" "F01" "E5" "5" "Stelis spathulata" "F01_E5" "5" "1" "0" "0" "0" "0" "Ramicaule"
"5" "LH" "F01" "E5" "6" "Oncidium pictum" "F01_E5" "4" "0" "1" "0" "0" "0" "Pseudobulb"
"6" "LH" "F01" "E4" "7" "Restrepia antennifera" "F01_E4" "5" "1" "0" "0" "0" "0" "Ramicaule"
"7" "LH" "F01" "E4" "8" "Restrepia antennifera" "F01_E4" "5" "1" "0" "0" "0" "0" "Ramicaule"
"8" "LH" "F01" "E4" "9" "Restrepia antennifera" "F01_E4" "5" "1" "0" "0" "0" "0" "Ramicaule"
"9" "LH" "F01" "E4" "11" "Stelis spathulata" "F01_E4" "5" "1" "0" "0" "0" "0" "Ramicaule"
"10" "LH" "F01" "E4" "12" "Stelis spathulata" "F01_E4" "5" "1" "0" "0" "0" "0" "Ramicaule"
"11" "LH" "F01" "E4" "13" "Stelis spathulata" "F01_E4" "5" "1" "0" "0" "0" "0" "Ramicaule"
"12" "LH" "F01" "E3" "14" "Stelis spathulata" "F01_E3" "5" "1" "0" "0" "0" "0" "Ramicaule"
"13" "LH" "F01" "E3" "15" "Stelis spathulata" "F01_E3" "5" "1" "0" "0" "0" "0" "Ramicaule"
"14" "LH" "F01" "E3" "16" "Stelis spathulata" "F01_E3" "5" "1" "0" "0" "0" "0" "Ramicaule"
"15" "LH" "F01" "E3" "17" "Restrepia antennifera" "F01_E3" "5" "1" "0" "0" "0" "0" "Ramicaule"
"16" "LH" "F01" "E3" "18" "Restrepia antennifera" "F01_E3" "5" "1" "0" "0" "0" "0" "Ramicaule"
"17" "LH" "F01" "E3" "19" "Restrepia antennifera" "F01_E3" "5" "1" "0" "0" "0" "0" "Ramicaule"
"18" "LH" "F02" "E3" "20" "Stelis vulcanica" "F02_E3" "5" "1" "0" "0" "0" "0" "Ramicaule"
"19" "LH" "F02" "E3" "21" "Stelis spathulata" "F02_E3" "5" "1" "0" "0" "0" "0" "Ramicaule"
"20" "LH" "F02" "E4" "22" "Restrepia antennifera" "F02_E4" "5" "1" "0" "0" "0" "0" "Ramicaule"
"21" "LH" "F02" "E4" "23" "Restrepia antennifera" "F02_E4" "5" "1" "0" "0" "0" "0" "Ramicaule"
"22" "LH" "F02" "E4" "24" "Restrepia antennifera" "F02_E4" "5" "1" "0" "0" "0" "0" "Ramicaule"
"23" "LH" "F02" "E4" "25" "Lepanthes sp.2" "F02_E4" "5" "1" "0" "0" "0" "0" "Ramicaule"
"24" "LH" "F02" "E4" "26" "Lepanthes sp.2" "F02_E4" "5" "1" "0" "0" "0" "0" "Ramicaule"
"25" "LH" "F02" "E4" "27" "Lepanthes sp.2" "F02_E4" "5" "1" "0" "0" "0" "0" "Ramicaule"
"26" "LH" "F02" "E4" "28" "Stelis spathulata" "F02_E4" "5" "1" "0" "0" "0" "0" "Ramicaule"
"27" "LH" "F02" "E4" "29" "Stelis spathulata" "F02_E4" "5" "1" "0" "0" "0" "0" "Ramicaule"
"28" "LH" "F02" "E4" "30" "Stelis spathulata" "F02_E4" "5" "1" "0" "0" "0" "0" "Ramicaule"
"29" "LH" "F02" "E5" "35" "Campylocentrum micranthum" "F02_E5" "2" "0" "0" "0" "1" "0" "Leafy stem"
"30" "LH" "F03" "E2" "36" "Stelis spathulata" "F03_E2" "5" "1" "0" "0" "0" "0" "Ramicaule"
"31" "LH" "F03" "E2" "37" "Stelis spathulata" "F03_E2" "5" "1" "0" "0" "0" "0" "Ramicaule"
"32" "LH" "F03" "E2" "39" "Stelis spathulata" "F03_E2" "5" "1" "0" "0" "0" "0" "Ramicaule"
"33" "LH" "F03" "E2" "40" "Lepanthes sp.3" "F03_E2" "5" "1" "0" "0" "0" "0" "Ramicaule"
