Loc,Tree,Elev,FileName,GF,Op,CI1,CI2,DSF,ISF,TSF,DirA,DifA,TotA,DirB,DifB,TotB
LH,F01,E1,F01E1_E_DSCN1401.JPG,10.27,10.36,0.34,0.801,0.0978,0.1146,0.1036,27.27,14.18,41.46,2.67,1.63,4.29
LH,F01,E1,F01E1_N_DSCN1400.JPG,10.04,10.1,0.38,0.834,0.1739,0.1131,0.1531,27.27,14.18,41.46,4.74,1.6,6.35
LH,F01,E1,F01E1_S_DSCN1402.JPG,10.75,10.83,0.43,0.806,0.1883,0.1186,0.1645,27.27,14.18,41.46,5.14,1.68,6.82
LH,F01,E3,F01E6_E_DSCN1537.JPG,10.31,10.71,0.43,0.784,0.2318,0.1502,0.2039,27.27,14.18,41.46,6.32,2.13,8.45
LH,F01,E3,F01E6_N_DSCN1538.JPG,10.62,11.06,0.44,0.786,0.1586,0.1568,0.158,27.27,14.18,41.46,4.33,2.22,6.55
LH,F01,E3,F01E6_O_DSCN1539.JPG,10.52,10.93,0.38,0.768,0.0945,0.1509,0.1138,27.27,14.18,41.46,2.58,2.14,4.72
LH,F01,E4,F01E8_E_DSCN1534.JPG,12.05,12.38,0.38,0.77,0.1244,0.1568,0.1355,27.27,14.18,41.46,3.39,2.22,5.62
LH,F01,E4,F01E8_N_DSCN1535.JPG,11.96,12.28,0.35,0.763,0.2149,0.1589,0.1958,27.27,14.18,41.46,5.86,2.25,8.12
LH,F01,E4,F01E8_W_DSCN1536.JPG,11.17,11.46,0.35,0.734,0.1816,0.1435,0.1686,27.27,14.18,41.46,4.95,2.03,6.99
LH,F01,E5,F01E10_E_DSCN1532.JPG,16.16,16.4,0.39,0.687,0.1103,0.1826,0.135,27.27,14.18,41.46,3.01,2.59,5.6
LH,F01,E5,F01E10_N_DSCN1531.JPG,17.26,17.61,0.34,0.631,0.1157,0.2001,0.1446,27.27,14.18,41.46,3.16,2.84,5.99
LH,F01,E5,F01E10_W_DSCN1533.JPG,17.38,17.84,0.35,0.657,0.1128,0.2131,0.1471,27.27,14.18,41.46,3.08,3.02,6.1
LH,F02,E1,F02E1_E_DSCN1407.JPG,12.71,13.1,0.4,0.768,0.0642,0.1717,0.101,27.27,14.18,41.46,1.75,2.43,4.19
LH,F02,E1,F02E1_N_DSCN1403.JPG,11.44,11.7,0.42,0.82,0.2105,0.1415,0.1869,27.27,14.18,41.46,5.74,2.01,7.75
LH,F02,E1,F02E1_S_DSCN1405.JPG,11.78,11.96,0.5,0.815,0.3081,0.1395,0.2504,27.27,14.18,41.46,8.4,1.98,10.38
LH,F02,E2,F02E3_E_DSCN1554.JPG,12.2,12.55,0.37,0.737,0.1682,0.159,0.1651,27.27,14.18,41.46,4.59,2.26,6.84
LH,F02,E2,F02E3_S_DSCN1553.JPG,12.5,12.83,0.35,0.726,0.1985,0.1595,0.1852,27.27,14.18,41.46,5.41,2.26,7.68
LH,F02,E3,F02E6_S_Edit_DSCN1552.TIF,13.41,13.59,0.47,0.775,0.2474,0.1541,0.2154,27.27,14.18,41.46,6.75,2.19,8.93
LH,F02,E3,F02E6_N_DSCN1551.JPG,12.54,12.8,0.46,0.772,0.0804,0.1506,0.1044,27.27,14.18,41.46,2.19,2.14,4.33
LH,F02,E3,F02E6_O_DSCN1550.JPG,13.97,14.31,0.35,0.738,0.1887,0.1736,0.1835,27.27,14.18,41.46,5.15,2.46,7.61
LH,F02,E4,F02E8_N_Edit_DSCN1548.TIF,14.93,15.23,0.44,0.742,0.1746,0.173,0.1741,27.27,14.18,41.46,4.76,2.45,7.22
LH,F02,E4,F02E8_O_DSCN1546.JPG,14.27,14.56,0.32,0.73,0.1371,0.1694,0.1481,27.27,14.18,41.46,3.74,2.4,6.14
LH,F02,E4,F02E8_S_DSCN1549.JPG,11.24,11.59,0.33,0.746,0.1313,0.1462,0.1364,27.27,14.18,41.46,3.58,2.07,5.66
LH,F02,E5,F02E10_O_DSCN1545_Edit.TIF,14.96,15.28,0.35,0.715,0.1144,0.1787,0.1364,27.27,14.18,41.46,3.12,2.54,5.65
LH,F02,E5,F02E10_S_DSCN1545_Edit.TIF,14.41,14.54,0.34,0.687,0.1167,0.1506,0.1283,27.27,14.18,41.46,3.18,2.14,5.32
LH,F02,E5,F02E10_N_DSCN1544.JPG,11.94,12.12,0.3,0.703,0.1877,0.1326,0.1688,27.27,14.18,41.46,5.12,1.88,7
LH,F03,E1,F03E1_E_DSCN1408.JPG,12.91,13.12,0.37,0.746,0.1715,0.1508,0.1644,27.27,14.18,41.46,4.68,2.14,6.82
LH,F03,E1,F03E1_N_DSCN1409.JPG,10.99,11.21,0.4,0.767,0.1624,0.1317,0.1519,27.27,14.18,41.46,4.43,1.87,6.3
LH,F03,E1,F03E1_S_DSCN1410.JPG,12.67,12.85,0.46,0.769,0.2253,0.144,0.1975,27.27,14.18,41.46,6.14,2.04,8.19
LH,F03,E2,F03E3_DSCN1242_Edit.TIF,11.39,11.51,0.43,0.809,0.0942,0.1242,0.1045,27.27,14.18,41.46,2.57,1.76,4.33
LH,F03,E2,F03E2_DSCN1244.JPG,13.62,13.74,0.35,0.709,0.1464,0.1357,0.1427,27.27,14.18,41.46,3.99,1.92,5.92
LH,F03,E3,F03E5_DSCN1231.JPG,13.09,13.11,0.46,0.748,0.044,0.1367,0.0757,27.27,14.18,41.46,1.2,1.94,3.14
LH,F03,E4,F03E4_DSCN1238.JPG,13.4,13.54,0.49,0.787,0.0851,0.1435,0.1051,27.27,14.18,41.46,2.32,2.03,4.36
LH,F04,E1,F04E1_E_DSCN1412.JPG,11.72,11.87,0.51,0.806,0.2571,0.1348,0.2153,27.27,14.18,41.46,7.01,1.91,8.92
LH,F04,E1,F04E1_N_DSCN1411.JPG,12.97,13.06,0.54,0.802,0.3579,0.1415,0.2838,27.27,14.18,41.46,9.76,2.01,11.77
LH,F04,E1,F04E1_S_DSCN1413.JPG,11.43,11.51,0.48,0.792,0.108,0.1202,0.1122,27.27,14.18,41.46,2.95,1.7,4.65
LH,F04,E2,F04E2_DSCN1252_Edit.TIF,10.94,11.01,0.52,0.847,0.0896,0.1154,0.0984,27.27,14.18,41.46,2.44,1.64,4.08
LH,F04,E3,F04E3_DSCN1249.JPG,11.25,11.15,0.54,0.824,0.0385,0.0992,0.0593,27.27,14.18,41.46,1.05,1.41,2.46
LH,F04,E4,F04E4_DSCN1247_Edit.TIF,12.88,13,0.63,0.815,0.1114,0.1406,0.1214,27.27,14.18,41.46,3.04,1.99,5.03
LH,F05,E1,F05E1_E_DSCN1362.JPG,11.79,11.81,0.43,0.782,0.0549,0.1177,0.0764,27.27,14.18,41.46,1.5,1.67,3.17
LH,F05,E1,F05E1_S_DSCN1363.JPG,11.14,11.18,0.34,0.798,0.0131,0.1143,0.0477,27.27,14.18,41.46,0.36,1.62,1.98
LH,F05,E1,F05E1_W_DSCN1364.JPG,12.55,12.6,0.35,0.747,0.1299,0.132,0.1306,27.27,14.18,41.46,3.54,1.87,5.42
LH,F05,E2,F05E2_E_DSCN1361.JPG,12.09,12.19,0.39,0.773,0.184,0.1297,0.1655,27.27,14.18,41.46,5.02,1.84,6.86
LH,F05,E2,F05E2_S_DSCN1359.JPG,11.91,12.07,0.37,0.767,0.1584,0.1348,0.1503,27.27,14.18,41.46,4.32,1.91,6.23
LH,F05,E2,F05E2_W_DSCN1358.JPG,11.58,11.76,0.33,0.747,0.1548,0.1376,0.1489,27.27,14.18,41.46,4.22,1.95,6.17
LH,F05,E3,F05E3_E_DSCN1355.JPG,9.29,9.57,0.31,0.783,0.094,0.1266,0.1052,27.27,14.18,41.46,2.56,1.8,4.36
LH,F05,E3,F05E3_S_DSCN1356.JPG,8.71,9.07,0.37,0.76,0.1975,0.1262,0.1731,27.27,14.18,41.46,5.39,1.79,7.18
