"site" "Op" "DSF" "ISF" "TSF" "DirB" "DifB" "TotB"
"1" "1" 10.43 0.153333333 0.115433333 0.1404 4.183333333 1.636666667 5.82
"2" "2" 10.9 0.161633333 0.152633333 0.158566667 4.41 2.163333333 6.573333333
"3" "3" 12.04 0.173633333 0.153066667 0.166633333 4.733333333 2.166666667 6.91
"4" "4" 17.28333333 0.112933333 0.1986 0.142233333 3.083333333 2.816666667 5.896666667
"5" "5" 12.25333333 0.194266667 0.1509 0.179433333 5.296666667 2.14 7.44
"6" "6" 12.69 0.18335 0.15925 0.17515 5 2.26 7.26
"7" "7" 13.56666667 0.172166667 0.159433333 0.167766667 4.696666667 2.263333333 6.956666667
"8" "8" 13.79333333 0.147666667 0.162866667 0.152866667 4.026666667 2.306666667 6.34
"9" "9" 13.98 0.1396 0.153966667 0.1445 3.806666667 2.186666667 5.99
"10" "10" 12.39333333 0.1864 0.142166667 0.171266667 5.083333333 2.016666667 7.103333333
"11" "11" 12.625 0.1203 0.12995 0.1236 3.28 1.84 5.125
"12" "12" 13.11 0.044 0.1367 0.0757 1.2 1.94 3.14
"13" "13" 13.54 0.0851 0.1435 0.1051 2.32 2.03 4.36
"14" "14" 0 0 0 0 0 0 0
"15" "15" 12.14666667 0.241 0.132166667 0.203766667 6.573333333 1.873333333 8.446666667
"16" "16" 11.01 0.0896 0.1154 0.0984 2.44 1.64 4.08
"17" "17" 11.15 0.0385 0.0992 0.0593 1.05 1.41 2.46
"18" "18" 13 0.1114 0.1406 0.1214 3.04 1.99 5.03
"19" "19" 11.86333333 0.065966667 0.121333333 0.0849 1.8 1.72 3.523333333
"20" "20" 12.00666667 0.165733333 0.134033333 0.1549 4.52 1.9 6.42
"21" "21" 9.366666667 0.1435 0.120366667 0.1356 3.913333333 1.71 5.623333333
"22" "22" 11.8 0.130166667 0.1407 0.1338 3.55 1.996666667 5.546666667
"23" "23" 12.51666667 0.1187 0.1416 0.126566667 3.236666667 2.01 5.246666667
"24" "24" 11.52333333 0.134933333 0.129366667 0.133 3.68 1.833333333 5.513333333
"25" "25" 12.86666667 0.087733333 0.1475 0.108166667 2.393333333 2.09 4.483333333
"26" "26" 13.81 0.1322 0.162 0.1424 3.6 2.3 5.9
"27" "27" 15.57 0.0843 0.1567 0.109 2.3 2.22 4.52
"28" "28" 14.62 0.1083 0.1472 0.1216 2.95 2.09 5.04
"29" "29" 10.755 0.1987 0.14195 0.17925 5.42 2.01 7.435
"30" "30" 12.59 0.140866667 0.1454 0.142433333 3.843333333 2.063333333 5.903333333
"31" "31" 13.15 0.160733333 0.1511 0.157466667 4.383333333 2.14 6.526666667
"32" "32" 13.43666667 0.206433333 0.158 0.189866667 5.63 2.24 7.873333333
"33" "33" 11.81666667 0.109366667 0.1354 0.118266667 2.983333333 1.916666667 4.903333333
"34" "34" 11.24 0.0879 0.127333333 0.101366667 2.4 1.806666667 4.203333333
"35" "35" 13.05666667 0.1004 0.146333333 0.1161 2.74 2.076666667 4.813333333
"36" "36" 13.81666667 0.181766667 0.147733333 0.170133333 4.956666667 2.096666667 7.053333333
"37" "37" 13.17666667 0.1138 0.118066667 0.115266667 3.103333333 1.676666667 4.78
"38" "38" 11.05666667 0.144466667 0.117333333 0.135166667 3.936666667 1.663333333 5.603333333
"39" "39" 12.68 0.1246 0.136966667 0.128866667 3.4 1.943333333 5.34
"40" "40" 13.48 0.153866667 0.1487 0.152133333 4.196666667 2.11 6.306666667
"41" "41" 14.13666667 0.143833333 0.141566667 0.143066667 3.923333333 2.006666667 5.93
"42" "42" 12.44333333 0.132033333 0.128966667 0.130966667 3.603333333 1.83 5.426666667
"43" "43" 14.37666667 0.126566667 0.154166667 0.136033333 3.453333333 2.183333333 5.636666667
"44" "44" 12.27666667 0.122666667 0.160933333 0.135766667 3.336666667 2.273333333 5.61
"45" "45" 13.15 0.0961 0.15955 0.11785 2.615 2.255 4.87
"46" "46" 12.71666667 0.158233333 0.146866667 0.154366667 4.3 2.076666667 6.376666667
"47" "47" 11.94 0.0726 0.1313 0.0927 1.973333333 1.856666667 3.83
"48" "48" 13.90666667 0.098333333 0.128833333 0.108766667 2.673333333 1.82 4.493333333
"49" "49" 10.56333333 0.1865 0.146966667 0.172966667 5.07 2.076666667 7.146666667
"50" "50" 10.82333333 0.165133333 0.140533333 0.1567 4.49 1.983333333 6.476666667
"51" "51" 10.46333333 0.1529 0.133166667 0.146166667 4.16 1.886666667 6.04
"52" "52" 10.835 0.17025 0.1405 0.1601 4.625 1.985 6.62
"53" "53" 22.38333333 0.219266667 0.2726 0.2375 5.96 3.853333333 9.813333333
"54" "54" 10.47666667 0.189133333 0.151766667 0.176333333 5.14 2.143333333 7.286666667
"55" "55" 14.43666667 0.190466667 0.182266667 0.187666667 5.176666667 2.576666667 7.753333333
"56" "56" 15.61333333 0.155766667 0.1849 0.165733333 4.233333333 2.616666667 6.85
"57" "57" 15.59333333 0.174 0.184766667 0.1777 4.73 2.61 7.343333333
"58" "58" 15.69 0.162133333 0.1896 0.171533333 4.41 2.68 7.086666667
